encoding,char,error-message
cdb1,舠,BadArguments
cdb2,芠,BadArguments
cdb3,苀,BadArguments
cdb5,芚,BadArguments
cdb6,芘,BadArguments
cdb7,芛,BadArguments
cdb8,芵,BadArguments
cdb9,芧,BadArguments
cdbc,芞,BadArguments
cdbd,芺,BadArguments
cdbe,芴,BadArguments
cdc2,苂,BadArguments
cdc3,芤,BadArguments
cdc4,苃,BadArguments
cdc5,芶,BadArguments
cdc6,芢,BadArguments
cdc7,虰,BadArguments
cdc9,虭,BadArguments
cdca,虮,BadArguments
cdcb,豖,BadArguments
cdcc,迒,BadArguments
cdcd,迋,BadArguments
cdd0,迖,BadArguments
cdd2,迗,BadArguments
cdd3,邲,BadArguments
cdd4,邴,BadArguments
cdd8,阹,BadArguments
cddb,阺,BadArguments
cddc,陃,BadArguments
cddf,俓,BadArguments
cde0,侲,BadArguments
cde1,俉,BadArguments
cde2,俋,BadArguments
cde3,俁,BadArguments
cde6,俙,BadArguments
cde7,侻,BadArguments
cde8,侳,BadArguments
cdea,俇,BadArguments
cdeb,俖,BadArguments
cdec,侺,BadArguments
cded,俀,BadArguments
cdee,侹,BadArguments
cdef,俬,BadArguments
cdf2,勀,BadArguments
cdf3,勂,BadArguments
cdf4,匽,BadArguments
cdf5,卼,BadArguments
cdf6,厗,BadArguments
cdf7,厖,BadArguments
cdf8,厙,BadArguments
cdf9,厘,BadArguments
cdfb,咡,BadArguments
ce40,哃,BadArguments
ce41,茍,BadArguments
ce43,咮,BadArguments
ce44,哖,BadArguments
ce45,咶,BadArguments
ce46,哅,BadArguments
ce48,咠,BadArguments
ce49,呰,BadArguments
ce4b,咢,BadArguments
ce4c,咾,BadArguments
ce4e,哞,BadArguments
ce4f,咰,BadArguments
ce50,垵,BadArguments
ce52,垟,BadArguments
ce54,垌,BadArguments
ce55,垗,BadArguments
ce57,垛,BadArguments
ce58,垔,BadArguments
ce59,垘,BadArguments
ce5a,垏,BadArguments
ce5b,垙,BadArguments
ce5c,垥,BadArguments
ce5d,垚,BadArguments
ce5e,垕,BadArguments
ce5f,壴,BadArguments
ce60,复,BadArguments
ce62,姡,BadArguments
ce63,姞,BadArguments
ce64,姮,BadArguments
ce65,娀,BadArguments
ce68,姺,BadArguments
ce6a,姼,BadArguments
ce6b,姶,BadArguments
ce6c,姤,BadArguments
ce6d,姲,BadArguments
ce6e,姷,BadArguments
ce6f,姛,BadArguments
ce70,姩,BadArguments
ce71,姳,BadArguments
ce72,姵,BadArguments
ce73,姠,BadArguments
ce74,姾,BadArguments
ce75,姴,BadArguments
ce76,姭,BadArguments
ce77,宨,BadArguments
ce79,峐,BadArguments
ce7a,峘,BadArguments
ce7b,峌,BadArguments
ce7c,峗,BadArguments
ce7e,峛,BadArguments
cea1,峞,BadArguments
cea2,峚,BadArguments
cea3,峉,BadArguments
cea6,峖,BadArguments
cea7,峓,BadArguments
cea8,峔,BadArguments
cea9,峏,BadArguments
ceaa,峈,BadArguments
ceac,峎,BadArguments
ceae,峸,BadArguments
ceb2,帣,BadArguments
ceb3,帠,BadArguments
ceb5,庰,BadArguments
ceb6,庤,BadArguments
ceb7,庢,BadArguments
ceb8,庛,BadArguments
ceb9,庣,BadArguments
cebb,弇,BadArguments
cebc,弮,BadArguments
cebe,徆,BadArguments
cebf,怷,BadArguments
cec1,恔,BadArguments
cec2,恲,BadArguments
cec3,恞,BadArguments
cec4,恅,BadArguments
cec7,恉,BadArguments
cec8,恛,BadArguments
ceca,恀,BadArguments
cecc,恟,BadArguments
cecd,怤,BadArguments
cece,恄,BadArguments
cecf,恘,BadArguments
ced0,恦,BadArguments
ced1,恮,BadArguments
ced2,扂,BadArguments
ced5,挍,BadArguments
ced6,挋,BadArguments
ced7,拵,BadArguments
ced8,挎,BadArguments
ced9,挃,BadArguments
ceda,拫,BadArguments
cedb,拹,BadArguments
cedc,挏,BadArguments
cedd,挌,BadArguments
cede,拸,BadArguments
cee0,挀,BadArguments
cee1,挓,BadArguments
cee2,挔,BadArguments
cee3,拺,BadArguments
cee4,挕,BadArguments
cee5,拻,BadArguments
cee6,拰,BadArguments
cee8,敃,BadArguments
cee9,斪,BadArguments
ceea,斿,BadArguments
ceec,昡,BadArguments
ceed,昲,BadArguments
ceef,昜,BadArguments
cef0,昦,BadArguments
cef1,昢,BadArguments
cef2,昳,BadArguments
cef3,昫,BadArguments
cef5,昝,BadArguments
cef6,昴,BadArguments
cef7,昹,BadArguments
cef8,昮,BadArguments
cefc,柲,BadArguments
cefd,柈,BadArguments
cefe,枺,BadArguments
cf41,枻,BadArguments
cf42,柸,BadArguments
cf44,柀,BadArguments
cf46,柅,BadArguments
cf47,柫,BadArguments
cf48,柤,BadArguments
cf49,柟,BadArguments
cf4b,柍,BadArguments
cf4e,柶,BadArguments
cf50,柣,BadArguments
cf51,柂,BadArguments
cf53,柎,BadArguments
cf54,柧,BadArguments
cf57,柼,BadArguments
cf58,柆,BadArguments
cf59,柭,BadArguments
cf5a,柌,BadArguments
cf5b,枮,BadArguments
cf5c,柦,BadArguments
cf5d,柛,BadArguments
cf5e,柺,BadArguments
cf5f,柉,BadArguments
cf60,柊,BadArguments
cf61,柃,BadArguments
cf62,柪,BadArguments
cf63,柋,BadArguments
cf64,欨,BadArguments
cf67,殶,BadArguments
cf6a,毠,BadArguments
cf6b,氠,BadArguments
cf6d,洨,BadArguments
cf6e,洴,BadArguments
cf6f,洭,BadArguments
cf71,洼,BadArguments
cf72,洿,BadArguments
cf74,洊,BadArguments
cf79,洺,BadArguments
cf7c,洀,BadArguments
cf7d,洝,BadArguments
cf7e,浂,BadArguments
cfa1,洁,BadArguments
cfa2,洘,BadArguments
cfa3,洷,BadArguments
cfa4,洃,BadArguments
cfa6,浀,BadArguments
cfa7,洇,BadArguments
cfa8,洠,BadArguments
cfa9,洬,BadArguments
cfaa,洈,BadArguments
cfab,洢,BadArguments
cfac,洉,BadArguments
cfad,洐,BadArguments
cfaf,炟,BadArguments
cfb0,炾,BadArguments
cfb3,炡,BadArguments
cfb4,炴,BadArguments
cfb7,牁,BadArguments
cfb8,牉,BadArguments
cfb9,牊,BadArguments
cfba,牬,BadArguments
cfbb,牰,BadArguments
cfbc,牳,BadArguments
cfbd,牮,BadArguments
cfbe,狊,BadArguments
cfbf,狤,BadArguments
cfc1,狫,BadArguments
cfc2,狟,BadArguments
cfc3,狪,BadArguments
cfc4,狦,BadArguments
cfc5,狣,BadArguments
cfc7,珌,BadArguments
cfc9,珈,BadArguments
cfca,珅,BadArguments
cfcb,玹,BadArguments
cfcc,玶,BadArguments
cfcd,玵,BadArguments
cfce,玴,BadArguments
cfcf,珫,BadArguments
cfd0,玿,BadArguments
cfd1,珇,BadArguments
cfd2,玾,BadArguments
cfd3,珃,BadArguments
cfd4,珆,BadArguments
cfd5,玸,BadArguments
cfd6,珋,BadArguments
cfd7,瓬,BadArguments
cfd9,甮,BadArguments
cfdb,畈,BadArguments
cfdd,疪,BadArguments
cfde,癹,BadArguments
cfdf,盄,BadArguments
cfe1,眃,BadArguments
cfe3,眅,BadArguments
cfe5,盷,BadArguments
cfe7,盺,BadArguments
cfe9,矨,BadArguments
cfea,砆,BadArguments
cfed,砅,BadArguments
cfee,砐,BadArguments
cfef,砏,BadArguments
cff0,砎,BadArguments
cff2,砃,BadArguments
cff3,砓,BadArguments
cff4,祊,BadArguments
cff5,祌,BadArguments
cff6,祋,BadArguments
cff8,祄,BadArguments
cffa,种,BadArguments
cffb,秏,BadArguments
cffd,秎,BadArguments
d040,穾,BadArguments
d042,笀,BadArguments
d043,笁,BadArguments
d044,籺,BadArguments
d045,籸,BadArguments
d047,籿,BadArguments
d048,粀,BadArguments
d049,粁,BadArguments
d04a,紃,BadArguments
d04c,紁,BadArguments
d04e,羑,BadArguments
d04f,羍,BadArguments
d050,羾,BadArguments
d051,耇,BadArguments
d053,耏,BadArguments
d056,胘,BadArguments
d057,胇,BadArguments
d059,胑,BadArguments
d05b,胂,BadArguments
d05c,胐,BadArguments
d05d,胅,BadArguments
d05e,胣,BadArguments
d060,胜,BadArguments
d061,胊,BadArguments
d063,胉,BadArguments
d066,胦,BadArguments
d067,胍,BadArguments
d06a,芔,BadArguments
d06b,苙,BadArguments
d06f,苨,BadArguments
d072,茺,BadArguments
d074,苖,BadArguments
d076,苬,BadArguments
d078,苲,BadArguments
d079,苵,BadArguments
d07a,茌,BadArguments
d07d,苰,BadArguments
d07e,苪,BadArguments
d0a2,苠,BadArguments
d0a4,苳,BadArguments
d0a5,苭,BadArguments
d0a6,虷,BadArguments
d0a7,虴,BadArguments
d0a9,虳,BadArguments
d0aa,衁,BadArguments
